Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
PRADA,15.0,16.0,12.0,0.9375
WALLET,8.0,8.0,8.0,1.0
GUCCI,7.0,10.0,9.0,0.7
FENDI,5.0,9.0,8.0,0.5555555555555556
ISSEY MIYAKE,3.0,12.0,5.0,0.25
DEPEND,1.0,53.0,,0.018867924528301886
AMERIBAG HEALTHY BACK BAG,1.0,1.0,,1.0
B U T T E R,1.0,1.0,,1.0
D. E. N. N. I. S. PROGRAM,1.0,1.0,,1.0
MAISON MARGIELA BAG,1.0,1.0,,1.0
W H A L E P A T C,1.0,1.0,,1.0
ISSEY MIYAKE BAG,1.0,0.0,,inf
ISSEY MIYAKE JACKET : BOTTEGA VENETA BAG,1.0,0.0,,inf
ISSEY MIYAKE SHIRT,1.0,0.0,,inf
MAISON MARGIELA BAGS,1.0,0.0,,inf
DRESS SHOE,,,10.0,
FLIGHT BAG,,,1.0,
IT BAG,,,1.0,
LOUIS VUITTON,,,1.0,
MESSENGER BAG,,,2.0,
MYMTA,,,2.0,
O BAG,,,2.0,
