Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
WALLET,12.0,17.0,11.0,0.7058823529411765
PRADA,10.0,10.0,10.0,1.0
GUCCI,7.0,10.0,9.0,0.7
FENDI,5.0,5.0,5.0,1.0
ISSEY MIYAKE,4.0,12.0,5.0,0.3333333333333333
DEPEND,2.0,30.0,,0.06666666666666667
MAISON MARGIELA,2.0,6.0,,0.3333333333333333
SUNNY,1.0,3.0,,0.3333333333333333
LOUIS VUITTON,1.0,1.0,1.0,1.0
MAISON MARGIELA BAG,1.0,1.0,,1.0
Y O U NOT I N G,1.0,1.0,,1.0
ISSEY MIYAKE JACKET : BOTTEGA VENETA BAG,1.0,0.0,,inf
ISSEY MIYAKE SHIRT,1.0,0.0,,inf
AIR JORDAN,,,1.0,
DRESS SHOE,,,1.0,
FLIGHT BAG,,,1.0,
IT BAG,,,3.0,
MESSENGER BAG,,,6.0,
MYMTA,,,1.0,
O BAG,,,2.0,
SATCHEL,,,1.0,
